Year,Month,Year_Month,Estate,Green leaves/Kg,kVA,KWhr,Power_Cost,cum,Fuel_Cost,Labour days,Prouction/Kg,Output_power,Output_fuel,Region,Efficiency_1,Efficiency_2,efficiency_factor
2017,Oct,2017-10,Holyrood,119173,146,11749,463012,131,350389.6,1016,26206,2.230487701,200.0458015,High Grown,Satisfied,Satisfied,High
2017,Oct,2017-10,Wattegoda,110343,106,23022,360830,127,346425,811,26790,1.163669533,210.9448819,High Grown,Unsatisfied,Satisfied,Moderate
2017,Oct,2017-10,Moragalla,137260,79,26801,389332,141,292874.1,1468,28112,1.048916085,199.3758865,Low grown,Unsatisfied,Unsatisfied,Low
2017,Oct,2017-10,Deniyaya,217837,110,42941,631958,252,440754.2,1986,45421,1.057753662,180.2420635,Low grown,Unsatisfied,Unsatisfied,Low
2017,Oct,2017-10,Kiruwanaganga,250376,160,49740,764674,395,577450,2701,51544,1.036268597,130.4911392,Low grown,Unsatisfied,Unsatisfied,Low
2017,Nov,2017-11,Dessford,190750,158,39208,526567,214,503714,1514,43121,1.099801061,201.5,High Grown,Unsatisfied,Satisfied,Moderate
2017,Nov,2017-11,Somerset,233802,151,28394,647262,228,578960,1855,51475,1.812883003,225.7675439,High Grown,Satisfied,Satisfied,High
2017,Nov,2017-11,Great_Weston,279279,136,45567,649039,345,875439,2368,60637,1.330721794,175.7594203,High Grown,Satisfied,Unsatisfied,Moderate
2017,Nov,2017-11,Mattakkelle,220825,144,46102,625861,289,878238,2019,48817,1.058891154,168.916955,High Grown,Unsatisfied,Unsatisfied,Low
2017,Nov,2017-11,Radella,52863,83,21855,905775,125,368248,733,13485,0.617021277,107.88,High Grown,Unsatisfied,Unsatisfied,Low
2017,Nov,2017-11,Bearwell,276799,228,23294,536566,260,974459,1960,65073,2.793551988,250.2807692,High Grown,Satisfied,Satisfied,High
2017,Nov,2017-11,Holyrood,135526,133,14072,409120,151,397070,1200,31165,2.214681637,206.3907285,High Grown,Satisfied,Satisfied,High
2017,Nov,2017-11,Wattegoda,124714,98,26549,394718,161,423128,1059,29438,1.108817658,182.8447205,High Grown,Unsatisfied,Unsatisfied,Low
2017,Nov,2017-11,Moragalla,136052,73,25064,337050,151,324389,1439,27139,1.082788063,179.7284768,Low grown,Unsatisfied,Unsatisfied,Low
2017,Nov,2017-11,Deniyaya,202879,110,44435,719177,240,168690,2146,40927,0.921053224,170.5291667,Low grown,Unsatisfied,Unsatisfied,Low
2017,Nov,2017-11,Kiruwanaganga,260496,160,49690,794722,428,668126,2788,53157,1.06977259,124.1985981,Low grown,Unsatisfied,Unsatisfied,Low
2017,Dec,2017-12,Dessford,192111,155,38932,524318,218,476480,1607,44620,1.146100894,204.6788991,High Grown,Unsatisfied,Satisfied,Moderate
2017,Dec,2017-12,Somerset,221609,158,29942,583989,212,669057,1851,50000,1.669895131,235.8490566,High Grown,Satisfied,Satisfied,High
2017,Dec,2017-12,Great_Weston,212539,106,36472,654283,253,594475,1859,48222,1.322164948,190.6007905,High Grown,Satisfied,Unsatisfied,Moderate
2017,Dec,2017-12,Mattakkelle,169745,154,35269,592069,205,670494,1617,36468,1.03399586,177.8926829,High Grown,Unsatisfied,Unsatisfied,Low
2017,Dec,2017-12,Radella,22064,53,9136,643417,63,235441,632,5969,0.653349387,94.74603175,High Grown,Unsatisfied,Unsatisfied,Low
2017,Dec,2017-12,Bearwell,276799,123,27138,470220,232,828866,2147,65330,2.407325521,281.5948276,High Grown,Satisfied,Satisfied,High
2017,Dec,2017-12,Holyrood,139512,134,19288,468049,194,518656,1306,31654,1.641124015,163.1649485,High Grown,Satisfied,Unsatisfied,Moderate
2017,Dec,2017-12,Wattegoda,100073,104,24119,406115,107,387388,945,25092,1.040341639,234.5046729,High Grown,Unsatisfied,Satisfied,Moderate
2017,Dec,2017-12,Moragalla,131547,75,27148,393800,179,396224,1453,26878,0.990054516,150.1564246,Low grown,Unsatisfied,Unsatisfied,Low
2017,Dec,2017-12,Deniyaya,185033,105,42349,601962,261,414432,1938,37942,0.89593615,145.3716475,Low grown,Unsatisfied,Unsatisfied,Low
2017,Dec,2017-12,Kiruwanaganga,260496,147,55900,753159,384,610389,2588,53394,0.955169946,139.046875,Low grown,Unsatisfied,Unsatisfied,Low
2018,Jan,2018-01,Dessford,195866,158,37612,907047,250,556344,1639,51647,1.373152185,206.588,High Grown,Satisfied,Satisfied,High
2018,Jan,2018-01,Somerset,245154,143,43367,902666,191,785031,1943,60807,1.4021491,318.3612565,High Grown,Satisfied,Satisfied,High
2018,Jan,2018-01,Great_Weston,255898,150,41007,681004,293,757227,2055,61327,1.495525154,209.3071672,High Grown,Satisfied,Satisfied,High
2018,Jan,2018-01,Mattakkelle,244469,179,45830,703238,252,779215,2005,58206,1.270041458,230.9761905,High Grown,Satisfied,Satisfied,High
2018,Jan,2018-01,Radella,31989,116,10421,828586,66,138099,672,8960,0.859802322,135.7575758,High Grown,Unsatisfied,Unsatisfied,Low
2018,Jan,2018-01,Bearwell,268701,121,42315,612987,244,789748,1745,67346,1.591539643,276.0081967,High Grown,Satisfied,Satisfied,High
2018,Jan,2018-01,Holyrood,169308,143,32665,661800,205,521471,1419,42936,1.31443441,209.4439024,High Grown,Satisfied,Satisfied,High
2018,Jan,2018-01,Wattegoda,100073,110,29309,444260,172,501526,919,40019,1.365416766,232.6686047,High Grown,Satisfied,Satisfied,High
2018,Jan,2018-01,Moragalla,109848,73,22598,348951,123,287028,1290,22469,0.99429153,182.6747967,Low grown,Unsatisfied,Unsatisfied,Low
2018,Jan,2018-01,Deniyaya,193267,97,40316,468028,245,303750,1650,42583,1.05623,173.8081633,Low grown,Unsatisfied,Unsatisfied,High
2018,Jan,2018-01,Kiruwanaganga,289699,163,57350,847709,320,500537,2616,62089,1.082632956,194.028125,Low grown,Unsatisfied,Unsatisfied,Low
2018,Feb,2018-02,Dessford,222998,161,42563,610148,250,573924,1703,56600,1.329793483,226.4,High Grown,Satisfied,Satisfied,High
2018,Feb,2018-02,Somerset,255170,155,44690,706537,182,741880,1957,62525,1.399082569,343.543956,High Grown,Satisfied,Satisfied,High
2018,Feb,2018-02,Great_Weston,251461,122,40026,560046,292,633385,1981,61836,1.544895818,211.7671233,High Grown,Satisfied,Satisfied,High
2018,Feb,2018-02,Mattakkelle,206412,160,38653,494678,181,507741,1852,46001,1.190101674,254.1491713,High Grown,Unsatisfied,Satisfied,Moderate
2018,Feb,2018-02,Radella,45090,68,17884,185248,86,181562,611,12089,0.675967345,140.5697674,High Grown,Unsatisfied,Unsatisfied,Low
2018,Feb,2018-02,Bearwell,189132,120,32642,504201,188,639974,1326,49493,1.51623675,263.2606383,High Grown,Satisfied,Satisfied,High
2018,Feb,2018-02,Holyrood,147801,132,28427,385569,179,454850,1260,36576,1.286664087,204.3351955,High Grown,Satisfied,Satisfied,High
2018,Feb,2018-02,Wattegoda,155933,114,29292,341638,84,325709,993,38476,1.313532705,458.047619,High Grown,Satisfied,Satisfied,High
2018,Feb,2018-02,Moragalla,91484,63,18054,276248,100,214506,753,18919,1.04791182,189.19,Low grown,Unsatisfied,Unsatisfied,Low
2018,Feb,2018-02,Deniyaya,174471,99,36298,600775,193,307825,1619,36156,0.996087939,187.3367876,Low grown,Unsatisfied,Unsatisfied,Low
2018,Feb,2018-02,Kiruwanaganga,248397,140,46860,811113,269,402930,2002,51089,1.090247546,189.9219331,Low grown,Unsatisfied,Unsatisfied,Low
2018,Mar,2018-03,Dessford,233792,162,45093,808198,243,561063,2072,55661,1.2343601,229.0576132,High Grown,Satisfied,Satisfied,High
2018,Mar,2018-03,Somerset,214496,149,39604,643224,159,542202,1912,47823,1.207529542,300.7735849,High Grown,Satisfied,Satisfied,High
2018,Mar,2018-03,Great_Weston,216824,132,39076,389837,247,643117,1710,49636,1.270242604,200.9554656,High Grown,Satisfied,Satisfied,High
2018,Mar,2018-03,Mattakkelle,176952,143,35298,580042,183,652018,1586,40706,1.153209814,222.4371585,High Grown,Unsatisfied,Satisfied,Moderate
2018,Mar,2018-03,Radella,70129,170,25800,576073,142,299052,835,19429,0.753062016,136.8239437,High Grown,Unsatisfied,Unsatisfied,Low
2018,Mar,2018-03,Bearwell,214823,147,37945,552380,255,1032639,1197,54637,1.439899855,214.2627451,High Grown,Satisfied,Satisfied,High
2018,Mar,2018-03,Holyrood,134628,129,27556,500654,206,492429,1270,31184,1.131659167,151.3786408,High Grown,Unsatisfied,Unsatisfied,Low
2018,Mar,2018-03,Wattegoda,193446,114,36149,521296,236,664638,1232,50376,1.39356552,213.4576271,High Grown,Satisfied,Satisfied,High
2018,Mar,2018-03,Moragalla,129748,80,24083,372097,139,284711,1405,25913,1.075987211,186.4244604,Low grown,Unsatisfied,Unsatisfied,Low
2018,Mar,2018-03,Deniyaya,238413,109,46646,599399,249,394160,2132,53285,1.142327316,213.9959839,Low grown,Unsatisfied,Satisfied,Moderate
2018,Mar,2018-03,Kiruwanaganga,310434,173,62120,856320,352,548008,2838,67354,1.084256278,191.3465909,Low grown,Unsatisfied,Unsatisfied,Low
2018,Apr,2018-04,Dessford,261489,164,46590,734054,294,666746,1989,56456,1.211762181,192.0272109,High Grown,Satisfied,Unsatisfied,Moderate
2018,Apr,2018-04,Somerset,356059,154,53528,769208,259,622907,2311,75413,1.408851442,291.1698842,High Grown,Satisfied,Satisfied,High
2018,Apr,2018-04,Great_Weston,373054,162,60063,921097,407,988486,2885,84059,1.399513844,206.5331695,High Grown,Satisfied,Satisfied,High
2018,Apr,2018-04,Mattakkelle,341395,185,60654,888525,317,845537,8374,75303,1.24151746,237.5488959,High Grown,Satisfied,Satisfied,High
2018,Apr,2018-04,Radella,108945,120,39800,376077,211,431214,907,29741,0.747261307,140.9526066,High Grown,Unsatisfied,Unsatisfied,Low
2018,Apr,2018-04,Bearwell,234259,122,36435,570065,268,722246,1386,54277,1.489693976,202.5261194,High Grown,Satisfied,Satisfied,High
2018,Apr,2018-04,Holyrood,172081,139,33224,407890,256,619386,1306,37181,1.11910065,145.2382813,High Grown,Unsatisfied,Unsatisfied,Low
2018,Apr,2018-04,Wattegoda,166623,108,30109,478213,204,487514,1220,39348,1.306851772,192.8823529,High Grown,Satisfied,Unsatisfied,Moderate
2018,Apr,2018-04,Moragalla,123880,85,21044,330599,137,302271,1112,25505,1.211984414,186.1678832,Low grown,Satisfied,Unsatisfied,Moderate
2018,Apr,2018-04,Deniyaya,205415,124,40786,601307,237,384974,1964,43256,1.060559996,182.5147679,Low grown,Unsatisfied,Unsatisfied,Low
2018,Apr,2018-04,Kiruwanaganga,271252,178,49790,778765,321,517699,2261,56870,1.142197228,177.165109,Low grown,Unsatisfied,Unsatisfied,Low
2018,May,2018-05,Dessford,322542,161,58329,722848,429,978477,2385,67351,1.154674347,156.995338,High Grown,Unsatisfied,Unsatisfied,Low
2018,May,2018-05,Somerset,333694,140,42719,661377,362,847024,2518,68682,1.607762354,189.7292818,High Grown,Satisfied,Unsatisfied,Moderate
2018,May,2018-05,Great_Weston,328173,150,55656,803820,375,891521,2535,69036,1.240405347,184.096,High Grown,Satisfied,Unsatisfied,Moderate
2018,May,2018-05,Mattakkelle,249714,140,42563,644340,271,736085,2166,52641,1.236778423,194.2472325,High Grown,Satisfied,Unsatisfied,Moderate
2018,May,2018-05,Radella,56575,82,26340,300236,117,426170,933,14724,0.558997722,125.8461538,High Grown,Unsatisfied,Unsatisfied,Low
2018,May,2018-05,Bearwell,319039,186,50071,759808,326,867821,1977,72623,1.450400431,222.7699387,High Grown,Satisfied,Satisfied,High
2018,May,2018-05,Holyrood,198347,141,34794,642070,277,687638,1511,41672,1.197677761,150.4404332,High Grown,Unsatisfied,Unsatisfied,Low
2018,May,2018-05,Wattegoda,231681,110,37390,564461,218,895845,1502,52318,1.399251137,239.9908257,High Grown,Satisfied,Satisfied,High
2018,May,2018-05,Moragalla,157744,80,27748,514910,170,301783,1542,31659,1.140947095,186.2294118,Low grown,Unsatisfied,Unsatisfied,Low
2018,May,2018-05,Deniyaya,268091,113,51062,710283,308,495418,2545,55267,1.082350868,179.4383117,Low grown,Unsatisfied,Unsatisfied,Low
